,dx,co,pe,ou,co_1 All Populations,co_2 HIV Testing Status,value
1927,HTS_TST,P0kE3O20UgM,202408,EpiC,Clients of FSW,Negative,83
1939,HTS_TST,zJbIKbb9nHz,202407,EpiC,MSM,Positive,2
1952,HTS_TST,ebg4jkC3bpU,202408,EpiC,MSM,Positive,4
1961,HTS_TST,wtgZ6KUE4Co,202407,EpiC,Clients of FSW,Negative,8
1962,HTS_TST,DONsmtG41dC,202408,EpiC,MSM,Negative,8
1965,HTS_TST,ar40QzNvRqY,202407,EpiC,Clients of FSW,Positive,3
1994,HTS_TST,r6lCtITmTV5,202407,EpiC,Clients of FSW,Positive,6
2002,HTS_TST,PSp2Tye9TUR,202408,EpiC,MSM,Negative,194
2003,HTS_TST,eOr0wUnd5qn,202409,EpiC,MSM,Negative,74
2023,HTS_TST,oTT0117kKJc,202407,EpiC,Clients of FSW,Negative,4
2050,HTS_TST,d87i4ajo5v4,202409,EpiC,MSM,Positive,33
2059,HTS_TST,ojQAHMA0L4k,202407,EpiC,Clients of FSW,Positive,11
2063,HTS_TST,HB7KhstRjlR,202409,EpiC,MSM,Positive,3
2064,HTS_TST,oTT0117kKJc,202409,EpiC,Clients of FSW,Negative,7
2079,HTS_TST,GWk06LAwUXH,202409,EpiC,MSM,Positive,5
2096,HTS_TST,ojQAHMA0L4k,202409,EpiC,Clients of FSW,Positive,3
2102,HTS_TST,DnpGcVc2rFv,202408,EpiC,MSM,Positive,5
2113,HTS_TST,twdCpm7pX27,202408,EpiC,MSM,Negative,24
2123,HTS_TST,GWk06LAwUXH,202407,EpiC,MSM,Positive,8
2131,HTS_TST,wtgZ6KUE4Co,202409,EpiC,Clients of FSW,Negative,2
2136,HTS_TST,KDdRSVdeFGW,202409,EpiC,MSM,Negative,37
2158,HTS_TST,DXiqxkvxkKa,202408,EpiC,Clients of FSW,Positive,2
2159,HTS_TST,zkLSB8mkPVk,202409,EpiC,MSM,Negative,49
2168,HTS_TST,EaClOgCBByt,202408,EpiC,Clients of FSW,Positive,10
2170,HTS_TST,CpVdOS3XNPi,202409,EpiC,Clients of FSW,Negative,21
2178,HTS_TST,F8tQsZ4mT5r,202407,EpiC,Clients of FSW,Negative,8
2187,HTS_TST,QsZ9J0NDpFh,202409,EpiC,MSM,Negative,538
2242,HTS_TST,muzUwvzzAY0,202407,EpiC,Clients of FSW,Positive,3
2253,HTS_TST,hy1XOFb62oh,202408,EpiC,Clients of FSW,Positive,1
2266,HTS_TST,eOMdBlEkmQx,202408,EpiC,MSM,Negative,172
2267,HTS_TST,QC1RnSsA73e,202407,EpiC,MSM,Positive,2
2283,HTS_TST,ouaHRoVbWPs,202407,EpiC,Clients of FSW,Positive,4
2285,HTS_TST,PyaDN9gPQAd,202408,EpiC,Clients of FSW,Negative,50
2298,HTS_TST,K7AP9nhPcQz,202407,EpiC,MSM,Negative,231
2304,HTS_TST,cJWGNEMM0QP,202407,EpiC,Clients of FSW,Negative,27
2308,HTS_TST,KDdRSVdeFGW,202407,EpiC,MSM,Negative,5
2313,HTS_TST,UAZdpeiS89D,202407,EpiC,Clients of FSW,Negative,17
2318,HTS_TST,l7ORqOxnoxp,202408,EpiC,Clients of FSW,Positive,1
2319,HTS_TST,hxzL5fSLwug,202408,EpiC,Clients of FSW,Positive,2
2320,HTS_TST,u4TxUrvTJ4s,202409,EpiC,MSM,Negative,864
2326,HTS_TST,x5FB6zkUOHy,202407,EpiC,MSM,Positive,2
2337,HTS_TST,d87i4ajo5v4,202407,EpiC,MSM,Positive,1
2353,HTS_TST,uMVr3jx5oSa,202409,EpiC,Clients of FSW,Positive,4
2354,HTS_TST,LR5UaWYRYXB,202408,EpiC,MSM,Positive,10
2383,HTS_TST,i2GFb4CpM4s,202407,EpiC,MSM,Negative,1
2389,HTS_TST,wQ27lnCoNSc,202409,EpiC,MSM,Negative,14
2401,HTS_TST,Yts7x3PtBUT,202407,EpiC,Clients of FSW,Negative,3
2417,HTS_TST,vtyr01HplhD,202409,EpiC,MSM,Positive,21
2430,HTS_TST,XnuiyF6aKCk,202407,EpiC,Clients of FSW,Negative,1
2434,HTS_TST,z85PlZZz53q,202409,EpiC,MSM,Positive,12
2455,HTS_TST,FqyArILjwT0,202408,EpiC,Clients of FSW,Positive,1
2463,HTS_TST,ZXbtrEufGI1,202407,EpiC,MSM,Negative,15
2467,HTS_TST,x5FB6zkUOHy,202409,EpiC,MSM,Positive,2
2487,HTS_TST,pLhsCOzdQvn,202409,EpiC,Clients of FSW,Negative,17
2499,HTS_TST,DT3LpZWXFlR,202407,EpiC,Clients of FSW,Positive,5
2511,HTS_TST,X10xKqb53k4,202409,EpiC,Clients of FSW,Negative,40
2518,HTS_TST,JPWj8UAKPm3,202409,EpiC,MSM,Negative,58
2521,HTS_TST,EQIC0Os1S4C,202407,EpiC,MSM,Positive,1
2523,HTS_TST,uV2zaUCU4Vl,202408,EpiC,Clients of FSW,Negative,4
2540,HTS_TST,i2GFb4CpM4s,202409,EpiC,MSM,Negative,1
2546,HTS_TST,f5LmkBnmJ3O,202408,EpiC,Clients of FSW,Negative,20
2548,HTS_TST,AXkXOLqy9bU,202409,EpiC,MSM,Positive,31
2549,HTS_TST,VXkRK2NOAZE,202407,EpiC,Clients of FSW,Positive,5
2578,HTS_TST,DnUC1aNOR9F,202408,EpiC,MSM,Positive,1
2602,HTS_TST,YqploRxxTD8,202407,EpiC,Clients of FSW,Negative,14
2610,HTS_TST,WeWsNrrZQf0,202408,EpiC,MSM,Negative,1034
2640,HTS_TST,d9Qg9Hl3coc,202409,EpiC,Clients of FSW,Negative,3
2645,HTS_TST,kba2UR76bx5,202409,EpiC,MSM,Negative,38
2651,HTS_TST,hDFxomWTE3I,202409,EpiC,MSM,Negative,30
2652,HTS_TST,hR4tFfQGmNv,202409,EpiC,Clients of FSW,Negative,1
2653,HTS_TST,sS7Kt9UU9ix,202407,EpiC,Clients of FSW,Negative,3
2662,HTS_TST,ETLSIqCIwnG,202408,EpiC,Clients of FSW,Positive,1
2667,HTS_TST,OSE9uU5wh5t,202408,EpiC,MSM,Positive,31
2699,HTS_TST,bBS5OHjGyVG,202408,EpiC,MSM,Negative,206
2706,HTS_TST,lT64HUrbqRo,202408,EpiC,MSM,Negative,12
2739,HTS_TST,LO4hwe7lmQe,202409,EpiC,MSM,Negative,510
2752,HTS_TST,Cka70IwxMHO,202409,EpiC,Clients of FSW,Negative,1
2757,HTS_TST,sREz9xEX21J,202409,EpiC,Clients of FSW,Negative,55
2767,HTS_TST,m8gPW8VTzDG,202407,EpiC,Clients of FSW,Positive,3
2768,HTS_TST,OKfZCgwuQkU,202409,EpiC,MSM,Positive,593
2771,HTS_TST,RSiPoGp9Z5I,202407,EpiC,Clients of FSW,Negative,6
2782,HTS_TST,TurcXCSre3p,202408,EpiC,Clients of FSW,Negative,89
2788,HTS_TST,vSpGm6hhUCF,202407,EpiC,MSM,Negative,43
2791,HTS_TST,qQrDL8Er7oK,202409,EpiC,MSM,Negative,4
2797,HTS_TST,P3RDL1BJi8E,202408,EpiC,Clients of FSW,Positive,10
2800,HTS_TST,ZOyrr3AsYgA,202409,EpiC,MSM,Negative,572
2867,HTS_TST,Prk5Eiysfk7,202407,EpiC,MSM,Negative,209
2868,HTS_TST,g3g1dX587aS,202407,EpiC,Clients of FSW,Positive,12
2907,HTS_TST,xXVei1LIPWR,202409,EpiC,Clients of FSW,Positive,1
2925,HTS_TST,KuJYwy7YrvA,202407,EpiC,Clients of FSW,Positive,3
2926,HTS_TST,SonJXg1GywM,202408,EpiC,MSM,Negative,8
2930,HTS_TST,fj9TvXAtL6D,202407,EpiC,MSM,Negative,23
2940,HTS_TST,HSO6su7eyv8,202409,EpiC,Clients of FSW,Negative,2
2949,HTS_TST,IhkUe42INcI,202407,EpiC,MSM,Positive,49
2950,HTS_TST,FJ3CpG1BjMl,202408,EpiC,MSM,Positive,9
2960,HTS_TST,MtijxAhkdhp,202408,EpiC,Clients of FSW,Negative,19
2963,HTS_TST,p0unBXtGbM9,202407,EpiC,Clients of FSW,Negative,4
2964,HTS_TST,YDlLa2WxFi7,202407,EpiC,MSM,Negative,201
2968,HTS_TST,sLSIW3BtH28,202407,EpiC,Clients of FSW,Negative,19
2993,HTS_TST,AbDgvaSIj7p,202407,EpiC,MSM,Positive,13
